datetime,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,14.751,14.215,14.896,13.996,40127658,5763333120.0,6.2,-2.06,-0.299,1.63
2023-01-04,14.467,14.649,14.753,14.141,43132360,6304004096.0,4.31,3.05,0.434,1.75
2023-01-05,14.391,14.165,14.464,14.048,38916811,5568175872.0,2.84,-3.3,-0.484,1.58
2023-01-06,14.374,14.759,14.91,13.934,40504362,5913898240.0,6.89,4.19,0.594,1.65
2023-01-09,15.184,15.528,15.956,15.041,50423056,7965323264.0,6.2,5.21,0.769,2.05
2023-01-10,15.407,15.809,15.862,15.372,38410126,6048145920.0,3.16,1.81,0.281,1.56
2023-01-11,15.74,15.901,15.928,15.463,35328493,5589316352.0,2.94,0.58,0.092,1.44
2023-01-12,16.0,16.411,16.537,15.392,55140906,8932819712.0,7.2,3.21,0.51,2.24
2023-01-13,16.178,16.799,16.822,16.065,44728706,7458987008.0,4.61,2.36,0.388,1.82
2023-01-17,16.799,17.602,17.628,16.799,51110216,8951675392.0,4.93,4.78,0.803,2.08
2023-01-18,17.567,17.277,17.773,17.182,43962355,7703990272.0,3.36,-1.85,-0.325,1.79
2023-01-19,16.936,16.665,17.097,16.631,45293160,7669297664.0,2.7,-3.54,-0.612,1.84
2023-01-20,16.911,17.739,17.756,16.725,56496712,9850451712.0,6.19,6.44,1.074,2.3
2023-01-23,17.964,19.093,19.145,17.718,65516259,12334010112.0,8.04,7.63,1.354,2.66
2023-01-24,18.727,19.165,19.395,18.72,49620410,9559372032.0,3.54,0.38,0.072,2.02
2023-01-25,18.813,19.223,19.27,18.48,44953711,8536128256.0,4.12,0.3,0.058,1.83
2023-01-26,19.601,19.702,20.066,19.178,48953542,9616339968.0,4.62,2.49,0.479,1.99
2023-01-27,19.362,20.265,20.528,19.305,54214198,10936258816.0,6.21,2.86,0.563,2.2
2023-01-30,19.85,19.062,20.04,19.05,48861115,9555120128.0,4.89,-5.94,-1.203,1.98
2023-01-31,19.07,19.437,19.587,18.85,49801658,9665626880.0,3.87,1.97,0.375,2.02
2023-02-01,19.591,20.843,21.092,19.511,66047704,13448895488.0,8.13,7.23,1.406,2.68
2023-02-02,20.9,21.609,21.849,20.6,56427580,12114073088.0,5.99,3.68,0.766,2.29
2023-02-03,20.9,21.0,21.645,20.689,42936595,9153818624.0,4.42,-2.82,-0.609,1.74
2023-02-06,20.706,20.989,21.47,20.686,45219709,9589764608.0,3.73,-0.05,-0.011,1.83
2023-02-07,21.282,22.073,22.159,21.05,66414961,14410333952.0,5.28,5.16,1.084,2.69
2023-02-08,22.287,22.105,22.778,21.908,55965122,12527593472.0,3.94,0.14,0.032,2.27
2023-02-09,22.506,22.237,22.92,22.02,52387578,11876990976.0,4.07,0.6,0.132,2.12
2023-02-10,21.59,21.165,21.978,20.711,55073675,11732983296.0,5.7,-4.82,-1.072,2.23
2023-02-13,21.438,21.688,21.948,20.862,47491862,10305320960.0,5.13,2.47,0.523,1.93
2023-02-14,21.478,22.871,22.949,21.266,67547350,15254191104.0,7.76,5.45,1.183,2.74
2023-02-15,22.449,22.664,22.755,22.006,42118826,9493268736.0,3.27,-0.91,-0.207,1.71
2023-02-16,22.033,21.902,22.45,21.827,41202628,9167261184.0,2.75,-3.36,-0.762,1.67
2023-02-17,21.531,21.288,21.64,20.875,46588764,9940586240.0,3.49,-2.8,-0.614,1.89
2023-02-21,20.9,20.555,21.394,20.518,41001455,8589870080.0,4.11,-3.44,-0.733,1.66
2023-02-22,20.607,20.654,21.004,20.321,51318432,10663080704.0,3.32,0.48,0.099,2.08
2023-02-23,23.34,23.564,23.788,22.925,111799541,26325180160.0,4.18,14.09,2.91,4.53
2023-02-24,23.125,23.186,23.374,22.847,58971591,13684192000.0,2.24,-1.6,-0.378,2.39
2023-02-27,23.57,23.401,23.78,23.354,45299367,10716002560.0,1.84,0.93,0.215,1.84
2023-02-28,23.272,23.116,23.725,23.106,45596280,10710908928.0,2.65,-1.22,-0.285,1.85
2023-03-01,23.092,22.598,23.156,22.408,46002562,10485558528.0,3.24,-2.24,-0.518,1.87
2023-03-02,22.388,23.214,23.28,22.332,39007465,8946495744.0,4.2,2.73,0.616,1.58
2023-03-03,23.22,23.79,23.8,23.03,41239330,9701385984.0,3.32,2.48,0.576,1.67
2023-03-06,23.791,23.454,24.148,23.387,43742923,10433176064.0,3.2,-1.41,-0.336,1.77
2023-03-07,23.504,23.192,24.029,23.145,51515388,12197371904.0,3.77,-1.12,-0.262,2.09
2023-03-08,23.391,24.085,24.104,23.328,51357339,12261108224.0,3.35,3.85,0.893,2.08
2023-03-09,24.079,23.34,24.358,23.287,50125699,11998404608.0,4.45,-3.09,-0.745,2.03
2023-03-10,23.313,22.869,23.531,22.63,47486565,10967570688.0,3.86,-2.02,-0.471,1.93
2023-03-13,22.656,22.87,23.202,22.201,42189032,9673755136.0,4.38,0.0,0.001,1.71
2023-03-14,23.4,23.967,24.123,23.364,47491013,11365927936.0,3.32,4.8,1.097,1.93
2023-03-15,23.665,24.132,24.19,23.264,52448574,12487484416.0,3.86,0.69,0.165,2.13
2023-03-16,23.931,25.445,25.492,23.798,58494626,14599193856.0,7.02,5.44,1.313,2.37
2023-03-17,25.886,25.629,26.303,25.572,84854656,22000398336.0,2.87,0.72,0.184,3.44
2023-03-20,25.519,25.804,25.928,25.034,43274719,11116999680.0,3.49,0.68,0.175,1.75
2023-03-21,26.084,26.103,26.296,25.285,54740776,14248896512.0,3.92,1.16,0.299,2.22
2023-03-22,26.329,26.372,27.493,26.141,79729511,21527226112.0,5.18,1.03,0.269,3.23
2023-03-23,27.02,27.095,27.403,26.594,56488876,15363133696.0,3.07,2.74,0.723,2.29
2023-03-24,26.935,26.683,27.071,26.259,45541407,12134860544.0,3.0,-1.52,-0.412,1.85
